Term,Name,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,ct,-log10(padj)
Acinar Cells,prerank,0.5305131554533085,2.0,0.0,0.010719158058857923,0.01,18/31,24.52%,CTRC;GDF15;PNLIPRP1;CFTR;PNLIP;ANXA4;CPB1;CPA2;GSTA1;PRSS3;PRSS3P2;LYZ;LCN2;CELA3B;OLFM4;PLA2G1B;ALDOB;MUC1,ductal,1.9698389200040596
Adipocytes,,,0.0,,1.0,,,,,ductal,0.0
Alpha Cells,,,0.0,,1.0,,,,,ductal,0.0
Cholangiocytes,prerank,0.4618696269562249,1.693680081993909,0.006153846153846154,0.04566361333073475,0.154,10/25,21.61%,SPP1;ALB;KRT19;KRT7;CLDN4;TACSTD2;CFTR;GSTA1;LCN2;MMP7,ductal,1.340429630951092
Chondrocytes,,,0.0,,1.0,,,,,ductal,0.0
Delta Cells,,,0.0,,1.0,,,,,ductal,0.0
Ductal Cells,prerank,0.42615347857142744,1.64749216846382,0.01116751269035533,0.0559182745403755,0.203,15/34,24.52%,SPP1;GDF15;KRT18;KRT19;KRT7;CLDN4;S100A10;TACSTD2;CFTR;TM4SF1;ANXA4;GSTA1;MMP7;SERPINA5;MUC1,ductal,1.2524461603324126
Fibroblasts,,,0.0,,1.0,,,,,ductal,0.0
Foveolar Cells,prerank,0.42868615734397475,1.4291474273297973,0.07974816369359916,0.22831806665367374,0.602,8/17,28.06%,KRT19;CLDN4;TM4SF1;ANXA4;GSTA1;PLA2G1B;MUC1;PTGR1,ductal,0.6414597027009356
Gamma (PP) Cells,,,0.0,,1.0,,,,,ductal,0.0
Goblet Cells,prerank,0.41999963621281566,1.2522541192693353,0.18181818181818182,0.35051646852465407,0.871,3/11,6.45%,KRT19;KRT7;CLDN4,ductal,0.45529156011072447
Hepatic Stellate Cells,,,0.0,,1.0,,,,,ductal,0.0
Hepatoblasts,prerank,0.6726145476253979,1.918386941195903,0.002224694104560623,0.012327031767686611,0.02,4/10,6.45%,ALB;KRT18;KRT19;CLDN4,ductal,1.9091411324970022
Mammary Epithelial Cells,prerank,0.6142419546400208,1.8539883876963619,0.0033076074972436605,0.012862989670629507,0.04,5/12,9.03%,KRT18;KRT19;KRT7;CLDN4;TACSTD2,ductal,1.8906577414825887
Mesothelial Cells,,,0.0,,1.0,,,,,ductal,0.0
Osteoclasts,,,0.0,,1.0,,,,,ductal,0.0
Pancreatic Stellate Cells,,,0.0,,1.0,,,,,ductal,0.0
Pericytes,,,0.0,,1.0,,,,,ductal,0.0
Stromal Cells,,,0.0,,1.0,,,,,ductal,0.0
Trophoblast Cells,prerank,0.6386478579425164,1.8940785407495542,0.0011074197120708748,0.010719158058857923,0.027,6/11,19.68%,KRT7;CLDN4;S100A10;TACSTD2;ANXA4;LCN2,ductal,1.9698389200040596
Acinar Cells,prerank,0.5415284452260255,1.7630656297178178,0.003033367037411527,0.1442248210445695,0.098,17/23,31.54%,CELA3B;CPA1;PLA2G1B;GDF15;REG1A;OLFM4;LCN2;CFB;CPA2;ALDOB;MUC1;GSTA1;REG3A;ANPEP;CLPS;REG1B;PRSS3P2,beta,0.8409599611335861
Adipocytes,prerank,0.2668367426057964,0.7741679852915325,0.8111814345991561,0.821111901325175,1.0,6/13,34.05%,HTRA1;TIMP1;C3;COL6A3;ADGRF5;ADGRL4,beta,0.08559764780289608
Alpha Cells,,,0.0,,1.0,,,,,beta,0.0
Cholangiocytes,,,0.0,,1.0,,,,,beta,0.0
Chondrocytes,prerank,0.5097718714125838,1.537057276339346,0.026260504201680673,0.5010752054673462,0.384,10/15,34.05%,HTRA1;EMP1;SPARC;COL4A1;COL4A2;TCF4;LCN2;IGF2;COL6A3;ADGRL4,beta,0.3000970781035952
Delta Cells,,,0.0,,1.0,,,,,beta,0.0
Ductal Cells,prerank,0.5187535491168251,1.4877512750095438,0.048625792811839326,0.36745515067605383,0.499,8/12,29.03%,GDF15;SDC4;CFB;MUC1;C3;GSTA1;TM4SF1;KRT18,beta,0.43479564884932376
Fibroblasts,prerank,0.3992925441165294,1.2596929536356825,0.15432098765432098,0.3202639408489705,0.912,6/19,12.54%,VIM;HTRA1;SPARC;COL4A1;COL4A2;TCF4,beta,0.49449194309846034
Foveolar Cells,,,0.0,,1.0,,,,,beta,0.0
Gamma (PP) Cells,,,0.0,,1.0,,,,,beta,0.0
Goblet Cells,,,0.0,,1.0,,,,,beta,0.0
Hepatic Stellate Cells,prerank,0.5095522851904684,1.4161213222143936,0.0697928026172301,0.47424514684655483,0.665,7/11,34.05%,HTRA1;SPARC;COL4A1;COL4A2;TIMP1;COL6A3;ADGRL4,beta,0.3239970955801671
Hepatoblasts,,,0.0,,1.0,,,,,beta,0.0
Mammary Epithelial Cells,,,0.0,,1.0,,,,,beta,0.0
Mesothelial Cells,prerank,0.4946112505397112,1.5172874904603497,0.026776519052523172,0.38565999941084633,0.422,11/16,44.09%,HTRA1;COL4A1;COL4A2;SDC4;CFB;TM4SF1;HSPG2;ADGRF5;ADGRL4;THBD;S100A16,beta,0.41379539248637764
Osteoclasts,prerank,0.43217346004175483,1.2373708831016825,0.19077568134171907,0.33896181819027493,0.93,9/12,49.10%,PLVAP;ENG;CTSD;KCNMA1;ANPEP;VWF;THBD;RIN2;RNASE1,beta,0.4698492066339044
Pancreatic Stellate Cells,prerank,0.4455990396076094,1.2682930321566943,0.1609442060085837,0.32338298974699314,0.904,7/12,34.05%,HTRA1;SPARC;COL4A1;COL4A2;TIMP1;COL6A3;ADGRL4,beta,0.4902828147021401
Pericytes,prerank,0.4449747477480747,1.4006958832072678,0.06488156539649846,0.4381535923645683,0.697,11/18,34.05%,VIM;HTRA1;SPARC;ANGPT2;COL4A1;COL4A2;PECAM1;ANPEP;COL6A3;ADGRF5;ADGRL4,beta,0.35837361332002743
Stromal Cells,prerank,0.4401330151180606,1.2796748923722379,0.14834578441835647,0.3246384069284473,0.889,5/13,13.26%,HTRA1;SPARC;COL4A1;COL4A2;PECAM1,beta,0.48860008810556693
Trophoblast Cells,,,0.0,,1.0,,,,,beta,0.0
Acinar Cells,,,0.0,,1.0,,,,,alpha,0.0
Adipocytes,,,0.0,,1.0,,,,,alpha,0.0
Alpha Cells,prerank,0.29775501538628996,0.9487281711035663,0.526824034334764,0.5273394495412844,0.799,15/16,71.54%,RGS4;PCSK1;FRZB;PLCE1;CRYBA2;FAP;LOXL4;FXYD5;UCN3;DEPP1;AGT;GRIA3;NKX6-1;SMIM24;UCP2,alpha,0.27790973024285825
Cholangiocytes,,,0.0,,1.0,,,,,alpha,0.0
Chondrocytes,,,0.0,,1.0,,,,,alpha,0.0
Delta Cells,prerank,0.39559155014036657,1.1187232746723825,0.3146067415730337,0.6355963302752293,0.558,4/10,20.73%,PCSK1;FRZB;GAD2;RBP4,alpha,0.19681861209846702
Ductal Cells,,,0.0,,1.0,,,,,alpha,0.0
Fibroblasts,prerank,-0.1702127659574468,-0.606183099421023,0.9896907216494846,0.9927272727272727,0.9911504424778761,11/11,84.15%,NR4A2;COX7A1;TCF4;NR4A1;EDN3;UCP2;VIM;KLF6;FAP;COL6A3;FRZB,alpha,0.0031700424147453688
Foveolar Cells,,,0.0,,1.0,,,,,alpha,0.0
Gamma (PP) Cells,,,0.0,,1.0,,,,,alpha,0.0
Goblet Cells,,,0.0,,1.0,,,,,alpha,0.0
Hepatic Stellate Cells,,,0.0,,1.0,,,,,alpha,0.0
Hepatoblasts,,,0.0,,1.0,,,,,alpha,0.0
Mammary Epithelial Cells,,,0.0,,1.0,,,,,alpha,0.0
Mesothelial Cells,,,0.0,,1.0,,,,,alpha,0.0
Osteoclasts,,,0.0,,1.0,,,,,alpha,0.0
Pancreatic Stellate Cells,,,0.0,,1.0,,,,,alpha,0.0
Pericytes,,,0.0,,1.0,,,,,alpha,0.0
Stromal Cells,,,0.0,,1.0,,,,,alpha,0.0
Trophoblast Cells,,,0.0,,1.0,,,,,alpha,0.0
Acinar Cells,prerank,0.4036669905984478,1.5939400527671665,0.039727582292849034,0.32295466585938093,0.612,7/18,17.98%,ANXA4;UCN3;TFF3;PLA2G1B;MUC13;REG1A;CPA1,acinar,0.4908584231963027
Adipocytes,prerank,0.30121766690416846,1.13742650686461,0.2966396292004635,0.7991750548702036,0.996,9/16,45.07%,TIMP1;COL1A1;FAP;COL6A3;MT2A;ACSL1;C3;SOD3;COL6A1,acinar,0.09735807503009161
Alpha Cells,prerank,0.7511675065772119,2.0,0.0,0.0,0.0,9/11,15.27%,CRYBA2;FXYD5;UCN3;ID4;FEV;FAP;LOXL4;RGS4;PCSK1,acinar,4.0
Cholangiocytes,prerank,0.3807403481674566,1.37257232828076,0.12455516014234876,0.46033176692375966,0.925,5/14,11.58%,SPP1;TACSTD2;KRT7;TFF3;MUC13,acinar,0.3369290445144536
Chondrocytes,prerank,0.17414315481615367,0.6362964110908528,0.8908246225319396,0.916831723376645,1.0,2/15,6.40%,COL1A1;FAP,acinar,0.03771036331749952
Delta Cells,,,0.0,,1.0,,,,,acinar,0.0
Ductal Cells,prerank,0.43243529574067147,1.8742118885812522,0.0066298342541436465,0.08370544161053507,0.17,10/25,13.55%,ANXA4;KRT18;SPP1;TACSTD2;TM4SF1;KRT7;TFF3;MUC13;S100A10;CCL2,acinar,1.0772462561373024
Fibroblasts,prerank,-0.2551811506303215,-1.6633438088382624,0.0,0.15351175112077162,0.1605316973415133,26/29,58.87%,FOSB;TAGLN;PRG4;C1R;VIM;IGFBP3;KLF6;IL1R1;TCF4;SERPINH1;CYP1B1;MMP14;CXCL8;COL1A2;FOSL2;NR4A1;OAF;CEBPB;NR4A2;VCAM1;EDN3;RUNX1;COL6A1;GREM1;SOD3;FSTL1,acinar,0.8138583459575863
Foveolar Cells,prerank,0.4525190036407515,1.5910112952315385,0.03814064362336114,0.27248416963091904,0.616,5/13,11.58%,ANXA4;TM4SF1;TFF3;PLA2G1B;MUC13,acinar,0.56465870769356
Gamma (PP) Cells,,,0.0,,1.0,,,,,acinar,0.0
Goblet Cells,prerank,0.5163409172784892,1.7241691577701126,0.018427518427518427,0.17774161810338304,0.383,6/11,16.01%,UCN3;KRT7;TFF3;MUC13;REG1A;CDH17,acinar,0.7502108460363389
Hepatic Stellate Cells,prerank,0.422708579386428,1.4731735558463679,0.07349397590361446,0.34730105872162936,0.818,9/13,45.07%,TIMP1;COL1A1;FAP;CCL2;COL6A3;MEG3;FSTL1;SOD3;COL6A1,acinar,0.4592938802677226
Hepatoblasts,,,0.0,,1.0,,,,,acinar,0.0
Mammary Epithelial Cells,prerank,0.31857550597548023,1.1098208883248055,0.3210463733650416,0.6356893692850704,0.998,3/13,8.37%,KRT18;TACSTD2;KRT7,acinar,0.196755044439323
Mesothelial Cells,prerank,0.23752709370716976,0.8922750616942947,0.6053864168618267,0.7582293838253877,1.0,3/16,8.37%,COL1A1;TM4SF1;KRT7,acinar,0.1201993835488258
Osteoclasts,prerank,0.5624065942939563,1.9569295975150818,0.0024968789013732834,0.06410353439794143,0.096,7/12,19.70%,SPP1;CTSD;EGFL7;KCNMA1;CTSZ;CCL2;RIN2,acinar,1.193117956910025
Pancreatic Stellate Cells,prerank,0.3544828656158473,1.1712497454991213,0.2609223300970874,0.7582935997376321,0.993,3/11,6.40%,TIMP1;COL1A1;FAP,acinar,0.12016260386755587
Pericytes,prerank,0.3258870291193131,1.0761457667066288,0.36626506024096384,0.6235313706198441,1.0,6/11,45.07%,COL1A1;FAP;COL6A3;FSTL1;SOD3;COL6A1,acinar,0.20514168478834066
Stromal Cells,prerank,0.27746449517582794,0.9401574116639972,0.5438175270108043,0.7032515325815485,1.0,7/12,45.07%,COL1A1;FAP;COL6A3;BMP5;FSTL1;SOD3;COL6A1,acinar,0.15288930653720914
Trophoblast Cells,prerank,0.41013417701926097,1.508867519409571,0.07084785133565621,0.3240936956028154,0.768,5/15,12.56%,ANXA4;TACSTD2;KRT7;C15ORF48;S100A10,acinar,0.48932940355128146
Acinar Cells,prerank,0.57628625890385,2.0,0.0,0.0,0.0,20/33,17.14%,REG1A;REG1B;CELA3B;CELA2A;CPA2;PLA2G1B;PNLIP;SYCN;CLPS;CPA1;SPINK1;GDF15;PRSS3P2;PRSS3;PNLIPRP1;REG3G;GSTA1;CPB1;PNLIPRP2;KLK1,gamma,4.0
Adipocytes,prerank,0.482553852695432,1.6768326178095203,0.02132435465768799,0.22029105305518695,0.433,9/14,42.29%,COL1A2;PDGFRB;BGN;COL6A3;TIMP1;MT2A;ACSL1;STEAP4;CRYAB,gamma,0.65700312129928
Alpha Cells,,,0.0,,1.0,,,,,gamma,0.0
Cholangiocytes,prerank,0.2354005734979822,0.7682024536317807,0.7526132404181185,0.8695330610129449,1.0,7/12,49.14%,GSTA1;CFB;EFNA1;GPX2;ITGB6;LCN2;FXYD2,gamma,0.06071389579432982
Chondrocytes,prerank,0.45328156968026045,1.4362787840928781,0.09048723897911833,0.5145308999151639,0.879,5/11,15.43%,COL1A2;PDGFRB;BGN;COL6A3;PRG4,gamma,0.2885885303235754
Delta Cells,,,0.0,,1.0,,,,,gamma,0.0
Ductal Cells,prerank,0.3479707078837638,1.4016112651735382,0.08508403361344538,0.4136230812178692,0.916,15/23,44.57%,GDF15;TM4SF1;KRT18;GSTA1;S100A10;LAMB3;LAMC2;CFB;EFNA1;SDC4;GPX2;CTSH;AADAC;ITGB6;CXCL2,gamma,0.38339522400364523
Fibroblasts,prerank,0.3621644022937074,1.2996172906665795,0.1636568848758465,0.5095821278632181,0.984,10/16,41.43%,VIM;COL1A2;PDGFRB;BGN;COL6A3;PRG4;CXCL8;KLF6;UCP2;MMP14,gamma,0.2927858035208152
Foveolar Cells,prerank,0.41405907793756985,1.4697922981563192,0.06896551724137931,0.5668936213409903,0.834,11/15,43.14%,PLA2G1B;CLPS;SPINK1;TM4SF1;GSTA1;GPRC5A;LAMB3;CFB;GPX2;AADAC;ITGB6,gamma,0.24649842198063218
Gamma (PP) Cells,,,0.0,,1.0,,,,,gamma,0.0
Goblet Cells,,,0.0,,1.0,,,,,gamma,0.0
Hepatic Stellate Cells,,,0.0,,1.0,,,,,gamma,0.0
Hepatoblasts,,,0.0,,1.0,,,,,gamma,0.0
Mammary Epithelial Cells,prerank,0.2717626331456931,0.8404692279367336,0.6739130434782609,0.927660344221586,1.0,6/10,43.14%,KRT18;LAMB3;LAMC2;SDC4;MMP14;ITGB6,gamma,0.03261100361672963
Mesothelial Cells,prerank,0.2577948228140211,0.8480563902496768,0.6681974741676234,0.9638322710694425,1.0,7/12,42.29%,COL1A2;BGN;TM4SF1;F3;CFB;SDC4;CRYAB,gamma,0.015998532220789886
Osteoclasts,prerank,-0.19444444444444442,-1.1009264657393427,0.2857142857142857,0.310076555975343,0.7036649214659686,26/26,82.29%,MS4A4A;OLFML2B;ENG;C1QA;LRP1;RNASE1;CTSD;HCK;FPR3;SLC15A3;CSF1R;CD14;CCL3;C1QB;TYROBP;FAM20C;FCER1G;MMP14;HMOX1;TGFBI;C1QC;ACP5;CTSZ;RIN2;CD68;ITGA2,gamma,0.5085310543114029
Pancreatic Stellate Cells,,,0.0,,1.0,,,,,gamma,0.0
Pericytes,prerank,0.450876853368334,1.424634544486224,0.09382422802850356,0.4388853842639925,0.892,5/11,12.29%,VIM;COL1A2;PDGFRB;BGN;COL6A3,gamma,0.3576488718688546
Stromal Cells,,,0.0,,1.0,,,,,gamma,0.0
Trophoblast Cells,prerank,0.24561519137313595,0.7952823170843529,0.7187864644107351,0.8695442383637114,1.0,8/12,51.14%,S100A10;GPRC5A;LAMB3;LAMC2;C15ORF48;ITGB6;LCN2;ANXA4,gamma,0.06070831322280621
Acinar Cells,prerank,-0.3413855880190635,-1.3301043689384295,0.12612612612612611,0.2868007542426147,0.5412474849094567,7/10,20.48%,UBD;MUC13;REG1B;GPX2;SPINK1;LYZ;UCN3,delta,0.5424196957311964
Adipocytes,prerank,0.3304003005277221,1.51877022267157,0.05274725274725275,0.6047605054363796,0.794,7/28,2.86%,TIMP3;TIMP1;COL6A2;BGN;COL6A1;COL1A2;COL6A3,delta,0.21841657148813137
Alpha Cells,prerank,-0.15615529428908692,-0.7273175946505144,0.8441558441558441,0.9479415461973602,0.9919517102615694,8/15,27.86%,PLCE1;LOXL4;CRYBA2;FEV;UCN3;RGS4;DEPP1;RAMP2,delta,0.0232184375600449
Cholangiocytes,,,0.0,,1.0,,,,,delta,0.0
Chondrocytes,prerank,0.2720652161718251,1.3280996636276918,0.14331210191082802,0.8330340331515765,0.974,7/35,2.86%,TIMP3;SPARC;COL6A2;BGN;COL6A1;COL1A2;COL6A3,delta,0.07933725015290996
Delta Cells,,,0.0,,1.0,,,,,delta,0.0
Ductal Cells,prerank,-0.1518882321551464,-0.7009761820453843,0.884393063583815,0.877561282212445,0.9929577464788732,13/14,72.86%,UBD;MUC13;SERPINA5;ITGB6;CLDN4;GPX2;KRT18;PDLIM3;ANXA4;EFNA1;SPP1;SLC3A1;AKR1C3,delta,0.05672254102732871
Fibroblasts,prerank,0.24793823032990697,1.2738510173044202,0.1837160751565762,0.7189734547947889,0.989,12/43,14.76%,TIMP3;SPARC;COL6A2;BGN;COL6A1;COL1A2;COL6A3;COL4A1;FOSB;COL8A1;DKK3;FAP,delta,0.14328713785892125
Foveolar Cells,,,0.0,,1.0,,,,,delta,0.0
Gamma (PP) Cells,prerank,0.48616597859842053,1.5827300478473678,0.04419191919191919,1.0,0.663,8/10,40.95%,AQP3;FXYD2;ID4;NFIB;SPARCL1;ADCYAP1;AGT;ADGRL2,delta,0.0
Goblet Cells,,,0.0,,1.0,,,,,delta,0.0
Hepatic Stellate Cells,prerank,0.3098442171684711,1.5210855595794528,0.05454545454545454,0.7459104711529043,0.791,8/36,2.86%,TIMP3;TIMP1;SPARC;COL6A2;BGN;COL6A1;COL1A2;COL6A3,delta,0.12731329032106986
Hepatoblasts,,,0.0,,1.0,,,,,delta,0.0
Mammary Epithelial Cells,,,0.0,,1.0,,,,,delta,0.0
Mesothelial Cells,prerank,0.20024049243562578,0.8975620850860654,0.6010989010989011,0.8688988378189947,1.0,22/26,69.29%,TIMP3;BGN;COL1A2;COL4A1;PLPP3;COL4A2;SRPX2;FN1;CRYAB;IGFBP5;DCN;COL3A1;FSTL1;ACKR3;RND3;UACA;COL12A1;COL5A2;PTGS2;HTRA1;LUM;CDH11,delta,0.061030778661773706
Osteoclasts,prerank,0.3002407376351718,1.1185126990269123,0.32806804374240583,0.771308229433413,1.0,9/14,46.19%,PLVAP;ENG;CEBPD;RIN2;HMOX1;ITGA2;SPP1;LRRC32;DAB2,delta,0.11277202929953765
Pancreatic Stellate Cells,prerank,0.33142715267288464,1.5899106569457049,0.038751345532831,1.0,0.649,8/33,2.86%,TIMP3;TIMP1;SPARC;COL6A2;BGN;COL6A1;COL1A2;COL6A3,delta,0.0
Pericytes,prerank,0.27330495483022516,1.3334247059831266,0.1326963906581741,0.9189195807620726,0.969,7/36,2.86%,TIMP3;SPARC;COL6A2;BGN;COL6A1;COL1A2;COL6A3,delta,0.03672248950198385
Stromal Cells,prerank,0.3242419824058188,1.5738766569734985,0.03739316239316239,0.73203382636236,0.673,8/35,2.86%,TIMP3;SPARC;MMP1;COL6A2;BGN;COL6A1;COL1A2;COL6A3,delta,0.13546884434346937
Trophoblast Cells,,,0.0,,1.0,,,,,delta,0.0
